PLAIN_CONFIGURATION,MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,bu_minsim,bu_minsize,st_minprio,st_priocalc,cd_labsim,cd_maxleaves,cd_structsim1,cd_structsim2,xy_minsim,
HybridGumtree-bu_minsize-400-st_minprio-5-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,400,5,size,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-1-st_priocalc-size,HybridGumtree,70,null,66,0,2,2,0,0,63,0,0,,500,1,size,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-2-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,129,0,0,,500,2,size,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-3-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,129,0,0,,500,3,size,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-4-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,75,0,0,,500,4,size,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-5-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,75,0,0,,500,5,size,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-1-st_priocalc-size,HybridGumtree,70,null,66,0,2,2,0,0,76,0,0,,600,1,size,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-2-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,128,0,0,,600,2,size,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-3-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,128,0,0,,600,3,size,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-4-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,75,0,0,,600,4,size,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-5-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,74,0,0,,600,5,size,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-1-st_priocalc-size,HybridGumtree,70,null,66,0,2,2,0,0,76,0,0,,700,1,size,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-2-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,63,0,0,,700,2,size,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-3-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,63,0,0,,700,3,size,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-4-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,700,4,size,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-5-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,700,5,size,,,,,,
HybridGumtree-bu_minsize-800-st_minprio-1-st_priocalc-size,HybridGumtree,70,null,66,0,2,2,0,0,64,0,0,,800,1,size,,,,,,
HybridGumtree-bu_minsize-800-st_minprio-2-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,63,0,0,,800,2,size,,,,,,
HybridGumtree-bu_minsize-800-st_minprio-3-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,115,0,0,,800,3,size,,,,,,
HybridGumtree-bu_minsize-800-st_minprio-4-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,113,0,0,,800,4,size,,,,,,
HybridGumtree-bu_minsize-800-st_minprio-5-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,114,0,0,,800,5,size,,,,,,
HybridGumtree-bu_minsize-900-st_minprio-1-st_priocalc-size,HybridGumtree,70,null,66,0,2,2,0,0,115,0,0,,900,1,size,,,,,,
HybridGumtree-bu_minsize-900-st_minprio-2-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,63,0,0,,900,2,size,,,,,,
HybridGumtree-bu_minsize-900-st_minprio-3-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,63,0,0,,900,3,size,,,,,,
HybridGumtree-bu_minsize-900-st_minprio-4-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,900,4,size,,,,,,
HybridGumtree-bu_minsize-900-st_minprio-5-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,900,5,size,,,,,,
HybridGumtree-bu_minsize-1000-st_minprio-1-st_priocalc-size,HybridGumtree,70,null,66,0,2,2,0,0,63,0,0,,1000,1,size,,,,,,
HybridGumtree-bu_minsize-1000-st_minprio-2-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,63,0,0,,1000,2,size,,,,,,
HybridGumtree-bu_minsize-1000-st_minprio-3-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,1000,3,size,,,,,,
HybridGumtree-bu_minsize-1000-st_minprio-4-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,1000,4,size,,,,,,
HybridGumtree-bu_minsize-1000-st_minprio-5-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,1000,5,size,,,,,,
HybridGumtree-bu_minsize-1100-st_minprio-1-st_priocalc-size,HybridGumtree,70,null,66,0,2,2,0,0,63,0,0,,1100,1,size,,,,,,
HybridGumtree-bu_minsize-1100-st_minprio-2-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,1100,2,size,,,,,,
HybridGumtree-bu_minsize-1100-st_minprio-3-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,1100,3,size,,,,,,
HybridGumtree-bu_minsize-1100-st_minprio-4-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,108,0,0,,1100,4,size,,,,,,
HybridGumtree-bu_minsize-1100-st_minprio-5-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,114,0,0,,1100,5,size,,,,,,
HybridGumtree-bu_minsize-1200-st_minprio-1-st_priocalc-size,HybridGumtree,70,null,66,0,2,2,0,0,116,0,0,,1200,1,size,,,,,,
HybridGumtree-bu_minsize-1200-st_minprio-2-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,100,0,0,,1200,2,size,,,,,,
HybridGumtree-bu_minsize-1200-st_minprio-3-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,51,0,0,,1200,3,size,,,,,,
HybridGumtree-bu_minsize-1200-st_minprio-4-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,1200,4,size,,,,,,
HybridGumtree-bu_minsize-1200-st_minprio-5-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,1200,5,size,,,,,,
HybridGumtree-bu_minsize-1300-st_minprio-1-st_priocalc-size,HybridGumtree,70,null,66,0,2,2,0,0,63,0,0,,1300,1,size,,,,,,
HybridGumtree-bu_minsize-1300-st_minprio-2-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,63,0,0,,1300,2,size,,,,,,
HybridGumtree-bu_minsize-1300-st_minprio-3-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,63,0,0,,1300,3,size,,,,,,
HybridGumtree-bu_minsize-1300-st_minprio-4-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,50,0,0,,1300,4,size,,,,,,
HybridGumtree-bu_minsize-1300-st_minprio-5-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,1300,5,size,,,,,,
HybridGumtree-bu_minsize-1400-st_minprio-1-st_priocalc-size,HybridGumtree,70,null,66,0,2,2,0,0,63,0,0,,1400,1,size,,,,,,
HybridGumtree-bu_minsize-1400-st_minprio-2-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,63,0,0,,1400,2,size,,,,,,
HybridGumtree-bu_minsize-1400-st_minprio-3-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,63,0,0,,1400,3,size,,,,,,
HybridGumtree-bu_minsize-1400-st_minprio-4-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,1400,4,size,,,,,,
HybridGumtree-bu_minsize-1400-st_minprio-5-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,1400,5,size,,,,,,
HybridGumtree-bu_minsize-1500-st_minprio-1-st_priocalc-size,HybridGumtree,70,null,66,0,2,2,0,0,116,0,0,,1500,1,size,,,,,,
HybridGumtree-bu_minsize-1500-st_minprio-2-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,63,0,0,,1500,2,size,,,,,,
HybridGumtree-bu_minsize-1500-st_minprio-3-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,115,0,0,,1500,3,size,,,,,,
HybridGumtree-bu_minsize-1500-st_minprio-4-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,50,0,0,,1500,4,size,,,,,,
HybridGumtree-bu_minsize-1500-st_minprio-5-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,1500,5,size,,,,,,
HybridGumtree-bu_minsize-1600-st_minprio-1-st_priocalc-size,HybridGumtree,70,null,66,0,2,2,0,0,63,0,0,,1600,1,size,,,,,,
HybridGumtree-bu_minsize-1600-st_minprio-2-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,63,0,0,,1600,2,size,,,,,,
HybridGumtree-bu_minsize-1600-st_minprio-3-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,65,0,0,,1600,3,size,,,,,,
HybridGumtree-bu_minsize-1600-st_minprio-4-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,1600,4,size,,,,,,
HybridGumtree-bu_minsize-1600-st_minprio-5-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,1600,5,size,,,,,,
HybridGumtree-bu_minsize-1700-st_minprio-1-st_priocalc-size,HybridGumtree,70,null,66,0,2,2,0,0,63,0,0,,1700,1,size,,,,,,
HybridGumtree-bu_minsize-1700-st_minprio-2-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,51,0,0,,1700,2,size,,,,,,
HybridGumtree-bu_minsize-1700-st_minprio-3-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,63,0,0,,1700,3,size,,,,,,
HybridGumtree-bu_minsize-1700-st_minprio-4-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,1700,4,size,,,,,,
HybridGumtree-bu_minsize-1700-st_minprio-5-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,1700,5,size,,,,,,
HybridGumtree-bu_minsize-1800-st_minprio-1-st_priocalc-size,HybridGumtree,70,null,66,0,2,2,0,0,63,0,0,,1800,1,size,,,,,,
HybridGumtree-bu_minsize-1800-st_minprio-2-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,63,0,0,,1800,2,size,,,,,,
HybridGumtree-bu_minsize-1800-st_minprio-3-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,107,0,0,,1800,3,size,,,,,,
HybridGumtree-bu_minsize-1800-st_minprio-4-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,1800,4,size,,,,,,
HybridGumtree-bu_minsize-1800-st_minprio-5-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,50,0,0,,1800,5,size,,,,,,
HybridGumtree-bu_minsize-1900-st_minprio-1-st_priocalc-size,HybridGumtree,70,null,66,0,2,2,0,0,57,0,0,,1900,1,size,,,,,,
HybridGumtree-bu_minsize-1900-st_minprio-2-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,99,0,0,,1900,2,size,,,,,,
HybridGumtree-bu_minsize-1900-st_minprio-3-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,1900,3,size,,,,,,
HybridGumtree-bu_minsize-1900-st_minprio-4-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,1900,4,size,,,,,,
HybridGumtree-bu_minsize-1900-st_minprio-5-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,50,0,0,,1900,5,size,,,,,,
HybridGumtree-bu_minsize-2000-st_minprio-1-st_priocalc-size,HybridGumtree,70,null,66,0,2,2,0,0,62,0,0,,2000,1,size,,,,,,
HybridGumtree-bu_minsize-2000-st_minprio-2-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,2000,2,size,,,,,,
HybridGumtree-bu_minsize-2000-st_minprio-3-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,2000,3,size,,,,,,
HybridGumtree-bu_minsize-2000-st_minprio-4-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,2000,4,size,,,,,,
HybridGumtree-bu_minsize-2000-st_minprio-5-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,50,0,0,,2000,5,size,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-1-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,9,0,0,,100,1,height,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-2-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,10,0,0,,100,2,height,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-3-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,10,0,0,,100,3,height,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-4-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,8,0,0,,100,4,height,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-5-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,10,0,0,,100,5,height,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-1-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,63,0,0,,200,1,height,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-2-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,200,2,height,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-3-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,50,0,0,,200,3,height,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-4-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,50,0,0,,200,4,height,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-5-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,200,5,height,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-1-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,63,0,0,,300,1,height,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-2-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,300,2,height,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-3-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,300,3,height,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-4-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,300,4,height,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-5-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,300,5,height,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-1-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,51,0,0,,400,1,height,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-2-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,50,0,0,,400,2,height,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-3-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,400,3,height,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-4-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,400,4,height,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-5-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,400,5,height,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-1-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,63,0,0,,500,1,height,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-2-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,500,2,height,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-3-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,500,3,height,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-4-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,500,4,height,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-5-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,500,5,height,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-1-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,51,0,0,,600,1,height,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-2-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,49,0,0,,600,2,height,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-3-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,600,3,height,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-4-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,600,4,height,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-5-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,600,5,height,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-1-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,63,0,0,,700,1,height,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-2-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,700,2,height,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-3-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,700,3,height,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-4-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,700,4,height,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-5-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,700,5,height,,,,,,
HybridGumtree-bu_minsize-800-st_minprio-1-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,51,0,0,,800,1,height,,,,,,
HybridGumtree-bu_minsize-800-st_minprio-2-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,51,0,0,,800,2,height,,,,,,
HybridGumtree-bu_minsize-800-st_minprio-3-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,800,3,height,,,,,,
HybridGumtree-bu_minsize-800-st_minprio-4-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,71,0,0,,800,4,height,,,,,,
HybridGumtree-bu_minsize-800-st_minprio-5-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,800,5,height,,,,,,
HybridGumtree-bu_minsize-900-st_minprio-1-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,63,0,0,,900,1,height,,,,,,
HybridGumtree-bu_minsize-900-st_minprio-2-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,900,2,height,,,,,,
HybridGumtree-bu_minsize-900-st_minprio-3-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,900,3,height,,,,,,
HybridGumtree-bu_minsize-900-st_minprio-4-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,900,4,height,,,,,,
HybridGumtree-bu_minsize-900-st_minprio-5-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,900,5,height,,,,,,
HybridGumtree-bu_minsize-1000-st_minprio-1-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,51,0,0,,1000,1,height,,,,,,
HybridGumtree-bu_minsize-1000-st_minprio-2-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,76,0,0,,1000,2,height,,,,,,
HybridGumtree-bu_minsize-1000-st_minprio-3-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,1000,3,height,,,,,,
HybridGumtree-bu_minsize-1000-st_minprio-4-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,1000,4,height,,,,,,
HybridGumtree-bu_minsize-1000-st_minprio-5-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,1000,5,height,,,,,,
HybridGumtree-bu_minsize-1100-st_minprio-1-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,63,0,0,,1100,1,height,,,,,,
HybridGumtree-bu_minsize-1100-st_minprio-2-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,62,0,0,,1100,2,height,,,,,,
HybridGumtree-bu_minsize-1100-st_minprio-3-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,1100,3,height,,,,,,
HybridGumtree-bu_minsize-1100-st_minprio-4-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,1100,4,height,,,,,,
HybridGumtree-bu_minsize-1100-st_minprio-5-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,137,0,0,,1100,5,height,,,,,,
HybridGumtree-bu_minsize-1200-st_minprio-1-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,52,0,0,,1200,1,height,,,,,,
HybridGumtree-bu_minsize-1200-st_minprio-2-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,134,0,0,,1200,2,height,,,,,,
HybridGumtree-bu_minsize-1200-st_minprio-3-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,103,0,0,,1200,3,height,,,,,,
HybridGumtree-bu_minsize-1200-st_minprio-4-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,93,0,0,,1200,4,height,,,,,,
HybridGumtree-bu_minsize-1200-st_minprio-5-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,103,0,0,,1200,5,height,,,,,,
HybridGumtree-bu_minsize-1300-st_minprio-1-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,105,0,0,,1300,1,height,,,,,,
HybridGumtree-bu_minsize-1300-st_minprio-2-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,103,0,0,,1300,2,height,,,,,,
HybridGumtree-bu_minsize-1300-st_minprio-3-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,102,0,0,,1300,3,height,,,,,,
HybridGumtree-bu_minsize-1300-st_minprio-4-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,102,0,0,,1300,4,height,,,,,,
HybridGumtree-bu_minsize-1300-st_minprio-5-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,102,0,0,,1300,5,height,,,,,,
HybridGumtree-bu_minsize-1400-st_minprio-1-st_priocalc-height,HybridGumtree,71,null,67,1,3,0,0,0,89,0,0,,1400,1,height,,,,,,
